-1:380:[11.938959391363571, -1.4237526486593757e-15]
-1:381:[14.101876281139434, -8.99638104254516e-16]
-1:382:[13.054454215393013, -1.802712149227451e-15]
-1:383:[15.373851016392797, -4.1537339176628586e-16]
-1:384:[21.612083745545483, -8.660418718675289e-16]
-1:385:[28.009775201801997, -1.5697891382174942e-15]
-1:386:[21.09393470720569, -9.792107072924336e-16]
-1:387:[17.41583904734024, -1.3692085942887489e-15]
-1:388:[17.906460588196026, -4.3622932661251236e-16]
-1:389:[4.908490031511807, -6.482623548830518e-16]
-1:390:[1.6332582384958043, -2.09065813628172e-16]
-1:391:[-5.683337144158332, 2.1492155756052197e-16]
-1:392:[-12.254168173827273, 8.938956082640096e-16]
-1:393:[-17.562833409042938, 1.7673681465394594e-15]
-1:394:[-22.010984054120858, 1.733244103751687e-15]
-1:395:[-26.92469612760142, 3.413107526098069e-15]
-1:396:[-27.870776826286956, 8.387453265902475e-16]
-1:397:[-34.64845682369947, 1.914188147268263e-15]
-1:398:[-40.708581676683316, 1.8216276638982295e-15]
-1:399:[-44.81089188055108, 5.431007209873865e-15]
-1:400:[-46.194017876366566, 1.9264552976702443e-16]
-1:401:[-45.49119701908999, 2.0441302654088716e-15]
-1:402:[-38.467193394594815, 2.7015956285721286e-15]
-1:403:[-38.214049884478506, 3.69905039686117e-15]
-1:404:[-40.35785708572427, 2.71679680461038e-15]
-1:405:[-36.9472235664318, 1.831342812023817e-15]
-1:406:[-42.26578707302645, 1.841454124551967e-15]
-1:407:[-41.30210742234016, 3.735632064882702e-15]
-1:408:[-40.44510738970805, 6.140354661768035e-15]
-1:409:[-34.123310555317275, 2.725787667871636e-15]
-1:410:[-39.45060664670969, 1.984002191510119e-15]
-1:411:[-39.56544696349268, 4.276514872815152e-15]
-1:412:[-39.183563287138064, 1.830277429012164e-15]
-1:413:[-39.47282504730736, 4.6047054717808904e-15]
-1:414:[-40.917535315077146, 2.1934833354474093e-15]
-1:415:[-35.59915709159692, 5.2399231128069134e-15]
-1:416:[-35.05505252089654, 4.452276650056749e-15]
-1:417:[-33.41396002764787, 1.826594703263436e-15]
-1:418:[-32.78171933504464, 4.2399259118108115e-15]
-1:419:[-31.26043544845624, 3.6874485209805855e-15]
-1:420:[-28.65899751886164, 1.6309606405788222e-15]
-1:421:[-24.028426901593622, 8.310049798273488e-16]
-1:422:[-19.14150132822286, 8.595709823995994e-16]
-1:423:[-23.043702206927772, 1.5958147465520477e-15]
-1:424:[-24.96088481164908, 1.6382078963637747e-15]
-1:425:[-30.056217107941432, 1.8812394502835054e-15]
